x,z,Density,Nu_Tilde,Pressure,Temperature,U,W,dUdX,dWdX,dUdZ,dWdZ,d2UdX2,d2WdZ2,dNu_tdX,dNu_tdZ
-0.199442,4.03918E-06,1.32917,4.18205E-05,114473,300.022,69.3625,5.2725E-07,-0.20696,1.79467E-05,0.994924,0.145881,-5.35969,1501.82,1.64186E-06,3.89764E-06
-0.153943,4.03918E-06,1.32917,4.19086E-05,114474,300.023,69.3505,1.8474E-06,-0.546096,4.73672E-05,6.45146,0.460774,-13.9798,1076.53,3.05733E-06,5.51067E-06
-0.118496,4.03918E-06,1.32919,4.20423E-05,114475,300.024,69.3248,3.94127E-06,-1.18916,-3.18992E-05,16.8373,1.01481,15.6654,8526.5,7.70067E-06,9.84667E-06
-0.0907862,4.03918E-06,1.32919,4.23256E-05,114477,300.028,69.2836,1.44012E-06,-0.154066,-0.00111166,2.35176,0.44226,359.418,28105,2.75968E-05,3.55584E-05
-0.0690046,4.03918E-06,1.32921,4.31719E-05,114479,300.029,69.299,-3.71893E-05,12.2201,-0.00546765,-158.901,-9.2194,1632.27,36651.8,9.57861E-05,0.000108787
-0.0517288,4.03918E-06,1.32932,4.54743E-05,114482,300.011,69.6411,-0.000173668,52.5239,-0.00947012,-646.584,-43.9071,2439.68,-133650,0.000247834,0.00032837
-0.0378307,4.03918E-06,1.32967,4.99941E-05,114486,299.943,70.6782,-0.000320023,87.4325,0.0315222,-1120.07,-82.4916,-10337.2,-812740,0.000389005,0.000763982
-0.0264028,4.03918E-06,1.33022,5.49517E-05,114496,299.844,71.7802,0.000377772,-133.839,0.248167,911.568,90.1047,-69974.4,-1659510,0.000800832,0.000359478
-0.016699,4.03918E-06,1.32989,6.53734E-05,114510,299.958,68.8185,0.00413722,-1178.38,0.960116,13505.2,1030.56,-236114,-2191970,0.0158435,-0.00228752
-0.00808551,4.03918E-06,1.32643,0.000304396,114521,300.768,52.6055,0.0163838,-4104.21,0.443901,79536.4,3808.43,-94945,-30584800,-0.0064011,-0.0129087
-4.48982E-33,4.03918E-06,1.32024,0.000006368,114479,302.065,3.39804,0.0129211,-3107.03,-1.04336,974703,3298.26,249481,-12930900,-0.0184284,1.56674
0.0080562,4.03918E-06,1.32,5.4169E-06,114455,302.058,2.20835,-0.000407294,-87.5005,-0.827654,675025,44.3242,194399,30283900,-7.16748E-05,1.38144
0.0162473,4.03918E-06,1.32012,5.22127E-06,114470,302.069,1.99954,-0.000207995,-17.9617,0.0155931,614440,15.58,4875.23,10733000,-1.78294E-05,1.33579
0.0245838,4.03918E-06,1.32004,5.12474E-06,114468,302.083,1.91462,-0.000153208,-8.42582,0.00339108,588700,11.8726,727.682,7177430,-9.92479E-06,1.31145
0.0330772,4.03918E-06,1.32,0.000005055,114469,302.096,1.85852,-0.000152348,-5.90129,0.000592596,571526,7.91369,215.657,6301320,-7.4565E-06,1.29328
0.0417392,4.03918E-06,1.31994,4.99719E-06,114468,302.107,1.81372,-0.000142804,-4.76552,0.000829806,557797,7.11556,106.509,5714100,-6.19832E-06,1.27808
0.0505828,4.03918E-06,1.3199,4.94672E-06,114468,302.116,1.77531,-0.000137963,-4.04956,0.000583415,546034,6.12631,70.1314,5328380,-5.35071E-06,1.26476
0.0596216,4.03918E-06,1.31986,4.9017E-06,114468,302.124,1.74147,-0.000132351,-3.51746,0.00054531,535671,5.58019,52.2984,5000610,-4.6995E-06,1.25288
0.06887,4.03918E-06,1.31983,0.000004861,114467,302.13,1.71112,-0.000128036,-3.09712,0.00045575,526382,5.03716,40.9634,4734900,-4.17568E-06,1.24213
0.0783437,4.03918E-06,1.3198,4.82367E-06,114467,302.135,1.6836,-0.000123826,-2.75344,0.000409257,517957,4.63899,32.9502,4502510,-3.74218E-06,1.2323
0.0880596,4.03918E-06,1.31978,4.78927E-06,114466,302.14,1.65839,-0.000120207,-2.46714,0.000356481,510240,4.27424,26.9419,4302530,-3.37776E-06,1.22323
0.0980356,4.03918E-06,1.31975,4.75728E-06,114466,302.144,1.63511,-0.000116818,-2.22479,0.000319158,503115,3.97851,22.3246,4124680,-0.000003067,1.21481
0.108291,4.03918E-06,1.31973,4.72733E-06,114466,302.148,1.61347,-0.000113767,-2.01706,0.000283896,496490,3.7143,18.7008,3966710,-2.79882E-06,1.20692
