Epoch,Learning rate,Training loss,Testing loss,RANS loss,BC loss,Sample loss
6.419000000000000000e+03,5.314410000000001859e-05,2.445072829837847166e+03,1.238804111458024266e+02,1.273870468750000029e+01,3.184946250915527521e+00,1.317184987888168557e+01
6.468000000000000000e+03,5.314410000000001859e-05,2.444134064447125184e+03,1.234702190831264659e+02,1.199783437500000005e+01,3.170791053771973012e+00,1.312910318247574892e+01
6.517000000000000000e+03,5.314410000000001859e-05,2.443115661848723903e+03,1.233280107322360379e+02,1.140881484375000099e+01,3.150844764709472834e+00,1.311232485527151859e+01
6.566000000000000000e+03,5.314410000000001859e-05,2.442155285493397059e+03,1.234701673286568706e+02,1.096325546875000079e+01,3.124922561645508079e+00,1.312302542751377032e+01
6.615000000000000000e+03,5.314410000000001859e-05,2.441422766881793905e+03,1.232964100164617207e+02,1.043189843750000101e+01,3.103021049499512074e+00,1.310383376679655498e+01
6.664000000000000000e+03,5.314410000000001859e-05,2.440835395939936006e+03,1.234332318570581890e+02,1.004710546875000077e+01,3.074267768859863637e+00,1.311553999069379728e+01
6.713000000000000000e+03,5.314410000000001859e-05,2.440040471173705100e+03,1.229152635278279604e+02,9.499313281250000074e+00,3.053356742858886808e+00,1.306233813311496661e+01
6.762000000000000000e+03,5.314410000000001859e-05,2.439689579728659737e+03,1.228647904976460410e+02,9.153564062500000986e+00,3.024500274658203480e+00,1.305555137639525043e+01
6.811000000000000000e+03,5.314410000000001859e-05,2.439033767201698083e+03,1.227136347831571328e+02,8.765382031250000594e+00,2.995622634887695312e+00,1.303910662379790963e+01
6.860000000000000000e+03,5.314410000000001859e-05,2.438383231324599365e+03,1.224837231911261313e+02,8.392239843749999650e+00,2.967150878906250178e+00,1.301497926769548386e+01
6.909000000000000000e+03,5.314410000000001859e-05,2.438046489488013776e+03,1.224878642972511074e+02,8.128086718749999662e+00,2.933620643615722834e+00,1.301400444613024199e+01
6.958000000000000000e+03,5.314410000000001859e-05,2.437426510848899852e+03,1.223076538088290022e+02,7.832010156249999966e+00,2.902375984191894798e+00,1.299507020099275145e+01
7.007000000000000000e+03,4.782969000000002012e-05,2.437060686443523082e+03,1.219793730318086631e+02,7.495153125000000749e+00,2.872626686096191762e+00,1.296222682815628779e+01
7.056000000000000000e+03,4.782969000000002012e-05,2.436773757617662341e+03,1.223441932400142917e+02,7.407309375000000529e+00,2.835954093933105824e+00,1.299659075798494534e+01
7.105000000000000000e+03,4.782969000000002012e-05,2.436275976738760619e+03,1.221167328169802033e+02,7.170212500000000766e+00,2.807041168212890625e+00,1.297340390780116337e+01
